,County_slash_Sub_County,lighting_Conventional_Households,lighting_Mains_Electricity,lighting_Paraffin_Pressure_lamp,lighting_Paraffin_Lantern,lighting_Paraffin_Tin_Lamp,lighting_Gas_Lamp,lighting_Wood,lighting_Solar_and_Solar_Torch_and_Battery_Torch,lighting_Solar,lighting_Torch_slash_Spotlight_Solar_Charged,lighting_Torch_slash_Spotlight_Dry_cells,lighting_Candle,lighting_Battery_Car_Slash_Charged,lighting_Generator_Diesel_slash_Petrol),lighting_Biogas,lighting_Not_Stated,drinking_water_Conventional_Households,drinking_water_Pond,drinking_water_Dam_slash_Lake,drinking_water_Stream_slash_River,drinking_water_Protected_Spring,drinking_water_Unprotected_Spring,drinking_water_Protected_Well,unprotected_well_borehole_piped_dwelling,drinking_water_Unprotected_Well,drinking_water_Borehole_slash_Tube_well,drinking_water_Piped_into_dwelling,drinking_water_Piped_to_yard_slash_plot,drinking_water_Bottled_water,drinking_water_Rain_slash_Harvested_water,drinking_water_Water_Vendor,drinking_water_Public_tap_slash_Standpipe,drinking_water_Not_Stated,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct.1,Use_of_Internet_Female,Use_of_Internet_pct.2,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct,mo_phone_population_above_3_Total_Male_Female,mo_phone_population_above_3_Total,mo_phone_population_above_3_Male,mo_phone_population_above_3_Female,mobile_phone_Total,mobile_phone_Total_pct,mobile_phone_Male_and_pct,mobile_phone_Male,mobile_phone_Male_pct,mobile_phone_Female,mobile_phone_Female_pct
0,MOMBASA,"376,295",85.9,0.5,2.7,6.3,0.1,0,1.5 0.4 0.3,1.5,0.4,0.3,2.2,0.1,0,0,0,"376,295",0.1,0.2,0.1,1.2,0.1,4.6,0.4 5.2 7.2,0.4,5.2,7.2,5.2,11.4,0.3,43.5,20.5,0,"1,100,173 552,476 547,681","1,100,173","552,476","547,681","431,327",39.2,"232,526 42.1","232,526",42.1,"198,792",36.3,"184,713","16.8 104,805 19.0 79,904",16.8,"104,805",19.0,"79,904",14.6,"1,100,173 552,476 547,681","1,100,173","552,476","547,681","679,402",61.8,"353,192 63.9","353,192",63.9,"326,200",59.6
1,CHANGAMWE,"46,439",87.7,0.4,3.1,3.6,0,0,0.9 0.6 0.4,0.9,0.6,0.4,3.2,0.1,0,0,0,"46,439",0,0,0.1,0.8,0.1,1.2,0.1 1.2 4.0,0.1,1.2,4.0,4.2,5.2,0.1,59.9,23.3,0,"121,334 63,184 58,150","121,334","63,184","58,150","48,368",39.9,"27,252 43.1","27,252",43.1,"21,116",36.3,"18,986","15.6 11,455 18.1 7,531",15.6,"11,455",18.1,"7,531",13.0,"121,334 63,184 58,150","121,334","63,184","58,150","79,248",65.3,"42,684 67.6","42,684",67.6,"36,564",62.9
2,JOMVU,"53,214",81,0.4,3.7,9.5,0.1,0.1,2.1 0.6 0.3,2.1,0.6,0.3,2.1,0.1,-,0,0,"53,214",0.1,0.1,0.1,0.8,0.2,1.5,0.4 1.1 5.2,0.4,1.1,5.2,4.3,4.7,0.2,53.4,27.8,0,"149,699 75,931 73,765","149,699","75,931","73,765","48,246",32.2,"27,583 36.3","27,583",36.3,"20,662",28.0,"19,386","12.9 11,739 15.5 7,646",12.9,"11,739",15.5,"7,646",10.4,"149,699 75,931 73,765","149,699","75,931","73,765","88,469",59.1,"46,928 61.8","46,928",61.8,"41,539",56.3
3,KISAUNI,"88,159",82.8,0.4,2.9,7.9,0.1,0.1,3.1 0.4 0.2,3.1,0.4,0.2,1.9,0.1,0,0,0,"88,159",0.2,0.3,0.2,2.2,0.1,4,0.8 8.2 11.8,0.8,8.2,11.8,9.2,10.5,0.3,21.6,30.7,0,"263,742 131,351 132,388","263,742","131,351","132,388","93,781",35.6,"50,503 38.4","50,503",38.4,"43,275",32.7,"40,374","15.3 22,737 17.3 17,636",15.3,"22,737",17.3,"17,636",13.3,"263,742 131,351 132,388","263,742","131,351","132,388","154,731",58.7,"80,185 61.0","80,185",61.0,"74,544",56.3
4,LIKONI,"80,002",87.2,0.7,2.4,6.4,0.1,0,1.0 0.3 0.2,1.0,0.3,0.2,1.7,0.1,-,0,0,"80,002",0.1,0.3,0.2,0.7,0.4,11.6,0.5 6.7 4.1,0.5,6.7,4.1,2.4,4.9,0.5,60.7,7,0,"228,472 115,784 112,685","228,472","115,784","112,685","75,298",33.0,"43,018 37.2","43,018",37.2,"32,279",28.6,"27,252","11.9 16,461 14.2 10,791",11.9,"16,461",14.2,"10,791",9.6,"228,472 115,784 112,685","228,472","115,784","112,685","134,590",58.9,"72,030 62.2","72,030",62.2,"62,559",55.5
5,MVITA,"38,710",91.1,0.2,1.1,3.8,0.1,0,0.5 0.3 0.4,0.5,0.3,0.4,2.5,0.1,-,-,0.1,"38,710",0,0,0,0.7,0,2.6,0.1 5.0 9.6,0.1,5.0,9.6,3.3,32.1,0.1,36.6,9.9,0.1,"138,927 66,589 72,336","138,927","66,589","72,336","76,664",55.2,"37,260 56.0","37,260",56.0,"39,404",54.5,"35,671","25.7 18,957 28.5 16,714",25.7,"18,957",28.5,"16,714",23.1,"138,927 66,589 72,336","138,927","66,589","72,336","92,190",66.4,"44,154 66.3","44,154",66.3,"48,036",66.4
6,NYALI,"69,771",87.9,0.4,2.8,4.8,0.1,0,0.8 0.5 0.3,0.8,0.5,0.3,2.3,0.1,0,-,0,"69,771",0,0.1,0.1,1.6,0.1,3,0.1 5.7 7.4,0.1,5.7,7.4,5.9,17.8,0.1,36.7,21.5,0,"197,999 99,637 98,357","197,999","99,637","98,357","88,970",44.9,"46,910 47.1","46,910",47.1,"42,056",42.8,"43,044","21.7 23,456 23.5 19,586",21.7,"23,456",23.5,"19,586",19.9,"197,999 99,637 98,357","197,999","99,637","98,357","130,174",65.7,"67,211 67.5","67,211",67.5,"62,958",64.0
7,KWALE,"172,802",31.5,0.5,6,29.5,0.2,1.7,22.8 2.7 3.9,22.8,2.7,3.9,0.9,0.2,0,0,0,"172,802",17.2,10.4,3.2,1.3,1.7,10.3,8.3 12.7 4.3,8.3,12.7,4.3,5.5,2.1,1.7,2.9,18.3,0,"783,189 382,538 400,636","783,189","382,538","400,636","97,240",12.4,"57,487 15.0","57,487",15.0,"39,749",9.9,"35,746","4.6 21,196 5.5 14,547",4.6,"21,196",5.5,"14,547",3.6,"783,189 382,538 400,636","783,189","382,538","400,636","287,765",36.7,"151,386 39.6","151,386",39.6,"136,374",34.0
8,KINANGO,"16,041",8.5,0.6,5,28.1,0.1,3.2,36.4 6.2 11.1,36.4,6.2,11.1,0.5,0.1,-,-,0,"16,041",55.1,20.9,0.9,0.2,0.4,0,1.0 0.2 2.8,1.0,0.2,2.8,4.2,0.1,0.7,1.1,12.3,0,"84,534 40,445 44,088","84,534","40,445","44,088","5,279",6.2,"3,195 7.9","3,195",7.9,"2,084",4.7,"2,240","2.6 1,372 3.4 868",2.6,"1,372",3.4,868,2.0,"84,534 40,445 44,088","84,534","40,445","44,088","24,431",28.9,"12,455 30.8","12,455",30.8,"11,976",27.2
9,LUNGALUNGA,"37,276",14.9,0.6,5.9,35.6,0.1,3.8,28.0 2.9 7.2,28.0,2.9,7.2,0.7,0.2,0,0,0,"37,276",17.1,24.7,5.1,0.4,1.7,10.9,19.7 11.7 0.3,19.7,11.7,0.3,0.3,0.7,3.9,1.6,1.9,0,"180,056 87,893 92,161","180,056","87,893","92,161","12,948",7.2,"8,218 9.4","8,218",9.4,"4,730",5.1,"4,324","2.4 2,715 3.1 1,609",2.4,"2,715",3.1,"1,609",1.7,"180,056 87,893 92,161","180,056","87,893","92,161","54,913",30.5,"29,413 33.5","29,413",33.5,"25,500",27.7
